ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL011951,UNNAMED,1951-01-04,1800,,TS,24.0,-58.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-04,1951,1,4,5,1,1951
AL011951,UNNAMED,1951-01-05,0,,TS,22.7,-60.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,1951,1,5,5,1,1951
AL011951,UNNAMED,1951-01-05,600,,TS,22.1,-60.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,1951,1,5,5,1,1951
AL011951,UNNAMED,1951-01-05,1200,,TS,21.7,-61.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,1951,1,5,5,1,1951
AL011951,UNNAMED,1951-01-05,1800,,TS,21.5,-61.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,1951,1,5,5,1,1951
AL011951,UNNAMED,1951-01-06,0,,TS,21.3,-61.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,1951,1,6,5,1,1951
AL011951,UNNAMED,1951-01-06,600,,TS,21.0,-61.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,1951,1,6,5,1,1951
AL011951,UNNAMED,1951-01-06,1200,,TS,20.7,-62.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,1951,1,6,5,1,1951
AL011951,UNNAMED,1951-01-06,1800,,TS,20.3,-62.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,1951,1,6,5,1,1951
AL011951,UNNAMED,1951-01-07,0,,TS,20.2,-62.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,1951,1,7,5,1,1951
AL011951,UNNAMED,1951-01-07,600,,TS,20.2,-63.7,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,1951,1,7,5,1,1951
AL011951,UNNAMED,1951-01-07,1200,,TS,20.6,-64.5,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,1951,1,7,5,1,1951
AL011951,UNNAMED,1951-01-07,1800,,TS,21.0,-65.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,1951,1,7,5,1,1951
AL011951,UNNAMED,1951-01-08,0,,TS,21.3,-65.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,1951,1,8,5,1,1951
AL011951,UNNAMED,1951-01-08,600,,TS,21.6,-66.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,1951,1,8,5,1,1951
AL011951,UNNAMED,1951-01-08,1200,,TS,21.9,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,1951,1,8,5,1,1951
AL011951,UNNAMED,1951-01-08,1800,,TS,22.3,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,1951,1,8,5,1,1951
AL011951,UNNAMED,1951-01-09,0,,TS,23.0,-66.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-09,1951,1,9,5,1,1951
AL011951,UNNAMED,1951-01-09,600,,TS,24.3,-65.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-09,1951,1,9,5,1,1951
AL041951,CHARLIE,1951-08-14,0,,TS,13.0,-50.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-14,1951,8,14,9,8,1951
AL041951,CHARLIE,1951-08-14,600,,TS,13.2,-51.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-14,1951,8,14,9,8,1951
AL041951,CHARLIE,1951-08-14,1200,,TS,13.4,-52.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-14,1951,8,14,9,8,1951
AL041951,CHARLIE,1951-08-14,1800,,TS,13.6,-53.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-14,1951,8,14,9,8,1951
AL041951,CHARLIE,1951-08-15,0,,TS,13.8,-55.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-15,1951,8,15,9,8,1951
AL041951,CHARLIE,1951-08-15,600,,TS,14.1,-57.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-15,1951,8,15,9,8,1951
AL041951,CHARLIE,1951-08-15,1200,,TS,14.4,-58.9,55,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-15,1951,8,15,9,8,1951
AL041951,CHARLIE,1951-08-15,1800,,TS,14.8,-60.7,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-15,1951,8,15,9,8,1951
AL041951,CHARLIE,1951-08-16,0,,TS,15.2,-62.6,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-16,1951,8,16,9,8,1951
AL041951,CHARLIE,1951-08-16,600,,HU,15.6,-64.6,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-16,1951,8,16,9,8,1951
AL041951,CHARLIE,1951-08-16,1200,,HU,15.9,-66.7,65,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-16,1951,8,16,9,8,1951
AL041951,CHARLIE,1951-08-16,1800,,HU,16.2,-68.6,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-16,1951,8,16,9,8,1951
AL041951,CHARLIE,1951-08-17,0,,HU,16.3,-70.2,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-17,1951,8,17,9,8,1951
AL041951,CHARLIE,1951-08-17,600,,HU,16.4,-71.7,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-17,1951,8,17,9,8,1951
AL041951,CHARLIE,1951-08-17,1200,,HU,16.6,-73.1,85,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-17,1951,8,17,9,8,1951
AL041951,CHARLIE,1951-08-17,1800,,HU,17.1,-74.6,95,971,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-17,1951,8,17,9,8,1951
AL041951,CHARLIE,1951-08-18,0,,HU,17.6,-76.2,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-18,1951,8,18,9,8,1951
AL041951,CHARLIE,1951-08-18,300,L,HU,17.9,-76.9,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-18,1951,8,18,9,8,1951
AL041951,CHARLIE,1951-08-18,600,,HU,18.1,-77.8,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-18,1951,8,18,9,8,1951
AL041951,CHARLIE,1951-08-18,1200,,HU,18.3,-79.4,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-18,1951,8,18,9,8,1951
AL041951,CHARLIE,1951-08-18,1800,,HU,18.6,-80.9,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-18,1951,8,18,9,8,1951
AL041951,CHARLIE,1951-08-19,0,,HU,18.9,-82.2,80,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-19,1951,8,19,9,8,1951
