,ID,Name,Date,Year,Month,Day,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Duration,sst,rhum,wspd,slp,cldc
0,AL011951,UNNAMED,1951-01-04,1951,1,4,1800,,TS,24.0,-58.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-04,5,23.245969077445192,81.18157316856025,81.18157316856025,1017.0687878116456,6.478353040215287
1,AL011951,UNNAMED,1951-01-05,1951,1,5,0,,TS,22.7,-60.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,5,23.802952133635213,81.94056034739464,81.94056034739464,1015.1520167226797,6.517454323388326
2,AL011951,UNNAMED,1951-01-05,1951,1,5,600,,TS,22.1,-60.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,5,23.57511222444994,82.22958579242881,82.22958579242881,1015.415068709579,6.3967763884457955
3,AL011951,UNNAMED,1951-01-05,1951,1,5,1200,,TS,21.7,-61.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,5,23.113195185991888,82.01849118965193,82.01849118965193,1016.839544364754,4.158353875195422
4,AL011951,UNNAMED,1951-01-05,1951,1,5,1800,,TS,21.5,-61.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-05,5,23.12142587954891,81.98108637645319,81.98108637645319,1016.8581746919235,4.131039742027304
5,AL011951,UNNAMED,1951-01-06,1951,1,6,0,,TS,21.3,-61.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,5,23.12277841069163,81.97571953013957,81.97571953013957,1016.8606203159414,4.126962689349179
6,AL011951,UNNAMED,1951-01-06,1951,1,6,600,,TS,21.0,-61.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,5,23.117206401137516,82.00349227990668,82.00349227990668,1016.8460759432177,4.146743393757969
7,AL011951,UNNAMED,1951-01-06,1951,1,6,1200,,TS,20.7,-62.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,5,23.099548204576237,82.08988285050151,82.08988285050151,1016.8012567162085,4.208582704249069
8,AL011951,UNNAMED,1951-01-06,1951,1,6,1800,,TS,20.3,-62.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-06,5,23.076144131759698,82.20669996535312,82.20669996535312,1016.7400238929746,4.2917668363499955
9,AL011951,UNNAMED,1951-01-07,1951,1,7,0,,TS,20.2,-62.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,5,23.057405490370265,82.30139513453538,82.30139513453538,1016.6900465984986,4.359014476266252
10,AL011951,UNNAMED,1951-01-07,1951,1,7,600,,TS,20.2,-63.7,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,5,22.733945757250243,83.84718500508636,83.84718500508636,1018.0860543358383,6.189902536502738
11,AL011951,UNNAMED,1951-01-07,1951,1,7,1200,,TS,20.6,-64.5,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,5,22.69500938364912,83.89644979856124,83.89644979856124,1017.9530466996406,6.15266013647488
12,AL011951,UNNAMED,1951-01-07,1951,1,7,1800,,TS,21.0,-65.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-07,5,20.055349641241275,81.61036821353754,81.61036821353754,1017.8928228244707,7.230746427805099
13,AL011951,UNNAMED,1951-01-08,1951,1,8,0,,TS,21.3,-65.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,5,20.328404936430875,81.92628025555227,81.92628025555227,1017.6716892221493,7.032295578710995
14,AL011951,UNNAMED,1951-01-08,1951,1,8,600,,TS,21.6,-66.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,5,20.499785621263946,82.1246265988292,82.1246265988292,1017.5329124121591,6.907729962559857
15,AL011951,UNNAMED,1951-01-08,1951,1,8,1200,,TS,21.9,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,5,20.626683167625494,82.27166867876475,82.27166867876475,1017.4302113725166,6.815486934537129
16,AL011951,UNNAMED,1951-01-08,1951,1,8,1800,,TS,22.3,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-01-08,5,18.918964671242417,86.23288587211584,86.23288587211584,1018.3492771778904,5.943197998912475
