ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Date_c,Year,Month,Day,Latitude_c,Longitude_c,Duration,sst,rhum,wspd,slp,cldc
AL011951,UNNAMED,1951-01-02,1200,,EX,30.5,-58.0,50,-999,1951-01-02,1951,1,2,30.5,-58.0,10,12.371029232260808,72.45709365017925,72.45709365017925,1027.4460549635792,5.219256209283795
AL011951,UNNAMED,1951-01-02,1800,,EX,29.9,-56.8,45,-999,1951-01-02,1951,1,2,29.9,-56.8,10,16.217764324352522,80.42385427109537,80.42385427109537,1022.6729775231556,5.756614377751996
AL011951,UNNAMED,1951-01-03,0,,EX,29.0,-55.7,45,-999,1951-01-03,1951,1,3,29.0,-55.7,10,15.491123752891115,81.12159009219916,81.12159009219916,1023.1519087918236,5.782473555025547
AL011951,UNNAMED,1951-01-03,600,,EX,27.5,-54.8,45,-999,1951-01-03,1951,1,3,27.5,-54.8,10,22.268074731803353,84.2647607465124,84.2647607465124,1019.3251379423775,5.651841577570193
AL011951,UNNAMED,1951-01-03,1200,,EX,26.5,-54.5,45,-999,1951-01-03,1951,1,3,26.5,-54.5,10,22.336746239617405,84.45861654882434,84.45861654882434,1019.305866350445,5.645405549324055
AL011951,UNNAMED,1951-01-03,1800,,EX,26.1,-55.2,45,-999,1951-01-03,1951,1,3,26.1,-55.2,10,21.588924569450764,76.73192818705441,76.73192818705441,1019.6411760314566,6.6722819249185905
AL011951,UNNAMED,1951-01-04,0,,EX,25.8,-56.1,45,-999,1951-01-04,1951,1,4,25.8,-56.1,10,22.79699734703111,86.20232205105296,86.20232205105296,1019.1246386560371,6.11649438477686
AL011951,UNNAMED,1951-01-04,600,,EX,25.5,-57.0,45,-999,1951-01-04,1951,1,4,25.5,-57.0,10,23.703059910458435,80.4585969892514,80.4585969892514,1016.7219924486066,6.62713459223377
AL011951,UNNAMED,1951-01-04,1200,,EX,25.1,-57.9,45,-999,1951-01-04,1951,1,4,25.1,-57.9,10,23.581657918362147,80.65055750104517,80.65055750104517,1016.8140569559138,6.587803510543389
AL011951,UNNAMED,1951-01-04,1800,,TS,24.0,-58.9,45,-999,1951-01-04,1951,1,4,24.0,-58.9,10,23.245969077445192,81.18157316856025,81.18157316856025,1017.0687878116456,6.478353040215287
AL011951,UNNAMED,1951-01-05,0,,TS,22.7,-60.0,45,-999,1951-01-05,1951,1,5,22.7,-60.0,10,23.802952133635213,81.94056034739464,81.94056034739464,1015.1520167226797,6.517454323388326
AL011951,UNNAMED,1951-01-05,600,,TS,22.1,-60.7,45,-999,1951-01-05,1951,1,5,22.1,-60.7,10,23.57511222444994,82.22958579242881,82.22958579242881,1015.415068709579,6.3967763884457955
AL011951,UNNAMED,1951-01-05,1200,,TS,21.7,-61.1,45,-999,1951-01-05,1951,1,5,21.7,-61.1,10,23.113195185991888,82.01849118965193,82.01849118965193,1016.839544364754,4.158353875195422
AL011951,UNNAMED,1951-01-05,1800,,TS,21.5,-61.3,45,-999,1951-01-05,1951,1,5,21.5,-61.3,10,23.12142587954891,81.98108637645319,81.98108637645319,1016.8581746919235,4.131039742027304
AL011951,UNNAMED,1951-01-06,0,,TS,21.3,-61.5,50,-999,1951-01-06,1951,1,6,21.3,-61.5,10,23.12277841069163,81.97571953013957,81.97571953013957,1016.8606203159414,4.126962689349179
AL011951,UNNAMED,1951-01-06,600,,TS,21.0,-61.7,50,-999,1951-01-06,1951,1,6,21.0,-61.7,10,23.117206401137516,82.00349227990668,82.00349227990668,1016.8460759432177,4.146743393757969
AL011951,UNNAMED,1951-01-06,1200,,TS,20.7,-62.0,55,-999,1951-01-06,1951,1,6,20.7,-62.0,10,23.099548204576237,82.08988285050151,82.08988285050151,1016.8012567162085,4.208582704249069
AL011951,UNNAMED,1951-01-06,1800,,TS,20.3,-62.4,55,-999,1951-01-06,1951,1,6,20.3,-62.4,10,23.076144131759698,82.20669996535312,82.20669996535312,1016.7400238929746,4.2917668363499955
AL011951,UNNAMED,1951-01-07,0,,TS,20.2,-62.9,55,-999,1951-01-07,1951,1,7,20.2,-62.9,10,23.057405490370265,82.30139513453538,82.30139513453538,1016.6900465984986,4.359014476266252
AL011951,UNNAMED,1951-01-07,600,,TS,20.2,-63.7,55,-999,1951-01-07,1951,1,7,20.2,-63.7,10,22.733945757250243,83.84718500508636,83.84718500508636,1018.0860543358383,6.189902536502738
AL011951,UNNAMED,1951-01-07,1200,,TS,20.6,-64.5,55,-999,1951-01-07,1951,1,7,20.6,-64.5,10,22.69500938364912,83.89644979856124,83.89644979856124,1017.9530466996406,6.15266013647488
AL011951,UNNAMED,1951-01-07,1800,,TS,21.0,-65.2,55,-999,1951-01-07,1951,1,7,21.0,-65.2,10,20.055349641241275,81.61036821353754,81.61036821353754,1017.8928228244707,7.230746427805099
AL011951,UNNAMED,1951-01-08,0,,TS,21.3,-65.8,55,-999,1951-01-08,1951,1,8,21.3,-65.8,10,20.328404936430875,81.92628025555227,81.92628025555227,1017.6716892221493,7.032295578710995
AL011951,UNNAMED,1951-01-08,600,,TS,21.6,-66.2,55,-999,1951-01-08,1951,1,8,21.6,-66.2,10,20.499785621263946,82.1246265988292,82.1246265988292,1017.5329124121591,6.907729962559857
AL011951,UNNAMED,1951-01-08,1200,,TS,21.9,-66.5,50,-999,1951-01-08,1951,1,8,21.9,-66.5,10,20.626683167625494,82.27166867876475,82.27166867876475,1017.4302113725166,6.815486934537129
AL011951,UNNAMED,1951-01-08,1800,,TS,22.3,-66.5,50,-999,1951-01-08,1951,1,8,22.3,-66.5,10,18.918964671242417,86.23288587211584,86.23288587211584,1018.3492771778904,5.943197998912475
AL011951,UNNAMED,1951-01-09,0,,TS,23.0,-66.1,50,-999,1951-01-09,1951,1,9,23.0,-66.1,10,18.635025490255746,86.4225618299416,86.4225618299416,1018.5629561241984,5.959331976549637
AL011951,UNNAMED,1951-01-09,600,,TS,24.3,-65.5,50,-999,1951-01-09,1951,1,9,24.3,-65.5,10,21.129949758045907,84.19459397603794,84.19459397603794,1017.2032034679465,5.906557872255695
AL011951,UNNAMED,1951-01-09,1200,,TS,26.0,-64.9,50,-999,1951-01-09,1951,1,9,26.0,-64.9,10,19.862085077854186,82.40352667359392,82.40352667359392,1018.9153828862047,6.201988535352934
AL011951,UNNAMED,1951-01-09,1800,,TS,27.5,-64.2,50,-999,1951-01-09,1951,1,9,27.5,-64.2,10,19.847076870851122,82.37726004141041,82.37726004141041,1018.9296246560064,6.206195591770447
AL011951,UNNAMED,1951-01-10,0,,EX,28.9,-63.4,50,-999,1951-01-10,1951,1,10,28.9,-63.4,10,18.012643916350314,80.09509948808294,80.09509948808294,1020.8479838781019,6.087556340188163
AL011951,UNNAMED,1951-01-10,600,,EX,30.6,-62.1,50,-999,1951-01-10,1951,1,10,30.6,-62.1,10,13.859842463999367,75.67677163897629,75.67677163897629,1024.8638353608526,6.254218769702606
AL011951,UNNAMED,1951-01-10,1200,,EX,32.6,-60.5,50,-999,1951-01-10,1951,1,10,32.6,-60.5,10,13.208880272591545,74.13850028591413,74.13850028591413,1025.1472992340318,5.78401983226167
AL011951,UNNAMED,1951-01-10,1800,,EX,34.2,-58.8,50,-999,1951-01-10,1951,1,10,34.2,-58.8,10,12.77345875366553,64.86814178832016,64.86814178832016,1027.9351873440955,6.141463232625841
AL011951,UNNAMED,1951-01-11,0,,EX,35.2,-57.2,50,-999,1951-01-11,1951,1,11,35.2,-57.2,10,13.315776234848803,63.14050488916197,63.14050488916197,1028.1858149879215,6.268765489532439
AL011951,UNNAMED,1951-01-11,600,,EX,37.0,-55.5,50,-999,1951-01-11,1951,1,11,37.0,-55.5,10,7.613262602002776,74.59837288413397,74.59837288413397,1026.8306125459635,5.357137885444924
AL011951,UNNAMED,1951-01-11,1200,,EX,39.0,-53.5,45,-999,1951-01-11,1951,1,11,39.0,-53.5,10,9.256820414051116,65.79595365954964,65.79595365954964,1025.3130837030458,4.252316487110937
AL011951,UNNAMED,1951-01-11,1800,,EX,41.3,-50.7,45,-999,1951-01-11,1951,1,11,41.3,-50.7,10,4.123674728221269,77.54124255354245,77.54124255354245,1019.1334289820287,4.4873386114361065
AL011951,UNNAMED,1951-01-12,0,,EX,42.5,-48.0,45,-999,1951-01-12,1951,1,12,42.5,-48.0,10,1.340177007863242,76.56722169449434,76.56722169449434,1022.1079827341,1.8789030343656536
