ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Duration
AL011951,UNNAMED,1951-01-02,1200,,EX,30.5,-58.0,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,2,10
AL011951,UNNAMED,1951-01-02,1800,,EX,29.9,-56.8,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,2,10
AL011951,UNNAMED,1951-01-03,0,,EX,29.0,-55.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,3,10
AL011951,UNNAMED,1951-01-03,600,,EX,27.5,-54.8,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,3,10
AL011951,UNNAMED,1951-01-03,1200,,EX,26.5,-54.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,3,10
AL011951,UNNAMED,1951-01-03,1800,,EX,26.1,-55.2,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,3,10
AL011951,UNNAMED,1951-01-04,0,,EX,25.8,-56.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,4,10
AL011951,UNNAMED,1951-01-04,600,,EX,25.5,-57.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,4,10
AL011951,UNNAMED,1951-01-04,1200,,EX,25.1,-57.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,4,10
AL011951,UNNAMED,1951-01-04,1800,,TS,24.0,-58.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,4,10
AL011951,UNNAMED,1951-01-05,0,,TS,22.7,-60.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,5,10
AL011951,UNNAMED,1951-01-05,600,,TS,22.1,-60.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,5,10
AL011951,UNNAMED,1951-01-05,1200,,TS,21.7,-61.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,5,10
AL011951,UNNAMED,1951-01-05,1800,,TS,21.5,-61.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,5,10
AL011951,UNNAMED,1951-01-06,0,,TS,21.3,-61.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,6,10
AL011951,UNNAMED,1951-01-06,600,,TS,21.0,-61.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,6,10
AL011951,UNNAMED,1951-01-06,1200,,TS,20.7,-62.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,6,10
AL011951,UNNAMED,1951-01-06,1800,,TS,20.3,-62.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,6,10
AL011951,UNNAMED,1951-01-07,0,,TS,20.2,-62.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,7,10
AL011951,UNNAMED,1951-01-07,600,,TS,20.2,-63.7,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,7,10
AL011951,UNNAMED,1951-01-07,1200,,TS,20.6,-64.5,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,7,10
AL011951,UNNAMED,1951-01-07,1800,,TS,21.0,-65.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,7,10
AL011951,UNNAMED,1951-01-08,0,,TS,21.3,-65.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,8,10
AL011951,UNNAMED,1951-01-08,600,,TS,21.6,-66.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,8,10
AL011951,UNNAMED,1951-01-08,1200,,TS,21.9,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,8,10
AL011951,UNNAMED,1951-01-08,1800,,TS,22.3,-66.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,8,10
AL011951,UNNAMED,1951-01-09,0,,TS,23.0,-66.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,9,10
AL011951,UNNAMED,1951-01-09,600,,TS,24.3,-65.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,9,10
AL011951,UNNAMED,1951-01-09,1200,,TS,26.0,-64.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,9,10
AL011951,UNNAMED,1951-01-09,1800,,TS,27.5,-64.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,9,10
AL011951,UNNAMED,1951-01-10,0,,EX,28.9,-63.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,10,10
AL011951,UNNAMED,1951-01-10,600,,EX,30.6,-62.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,10,10
AL011951,UNNAMED,1951-01-10,1200,,EX,32.6,-60.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,10,10
AL011951,UNNAMED,1951-01-10,1800,,EX,34.2,-58.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,10,10
AL011951,UNNAMED,1951-01-11,0,,EX,35.2,-57.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,11,10
AL011951,UNNAMED,1951-01-11,600,,EX,37.0,-55.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,11,10
AL011951,UNNAMED,1951-01-11,1200,,EX,39.0,-53.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,11,10
AL011951,UNNAMED,1951-01-11,1800,,EX,41.3,-50.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,11,10
AL011951,UNNAMED,1951-01-12,0,,EX,42.5,-48.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,12,10
AL011951,UNNAMED,1951-01-12,600,,EX,43.6,-45.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,12,10
AL011951,UNNAMED,1951-01-12,1200,,EX,44.7,-41.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,1,12,10
AL021951,ABLE,1951-05-16,0,,TD,32.0,-68.0,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,16,8
AL021951,ABLE,1951-05-16,600,,TD,31.9,-70.8,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,16,8
AL021951,ABLE,1951-05-16,1200,,TS,31.6,-73.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,16,8
AL021951,ABLE,1951-05-16,1800,,TS,30.6,-76.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,16,8
AL021951,ABLE,1951-05-17,0,,TS,29.4,-77.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,17,8
AL021951,ABLE,1951-05-17,600,,TS,28.8,-78.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,5,17,8
